epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,973.129,2.14689,3.20681,1.91449,0.36709,0.04978,0.10108,0.05043,1.70137,2.81903,1.47284,0.00166144,0.000553814,0.00166144,0.000553814,0.00166144,0.000553814,0.00166144,0.000553814
2,1541.95,1.82178,2.8248,1.6316,0.15131,0.21559,0.15483,0.07922,1.55792,2.25329,1.38455,0.00329549,0.0010985,0.00329549,0.0010985,0.00329549,0.0010985,0.00329549,0.0010985
3,2027.01,1.71724,2.32756,1.53367,0.34792,0.2974,0.27281,0.16411,1.44014,1.94168,1.2825,0.00489653,0.00163218,0.00489653,0.00163218,0.00489653,0.00163218,0.00489653,0.00163218
4,2490.73,1.61947,2.01766,1.46814,0.51333,0.42753,0.42544,0.27555,1.3401,1.69741,1.22432,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,2959.55,1.54501,1.83524,1.42169,0.69852,0.43082,0.5014,0.34209,1.22704,1.57958,1.1447,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,3420.61,1.4632,1.71875,1.36118,0.67642,0.48003,0.53091,0.35706,1.21108,1.47546,1.14179,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,3890.23,1.42384,1.67621,1.35281,0.7232,0.49208,0.56644,0.39159,1.19786,1.4533,1.12394,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,4356.95,1.39138,1.61728,1.32974,0.73015,0.53406,0.60299,0.41689,1.16025,1.33592,1.10428,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,4825.04,1.34871,1.55955,1.30636,0.73627,0.54941,0.6066,0.43277,1.10763,1.29369,1.07523,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,5287.86,1.32891,1.5327,1.30163,0.75205,0.52169,0.60757,0.43796,1.10039,1.27617,1.06219,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
